"domain","collect","tags_str"
"1performer5.com","1598745600","['spam']"
"1poloclikc002.top","1598745600","['spam']"
"1ponto5.net.br","1598745600","['spam']"
"1promisethat0.cricket","1598745600","['spam']"
"1q546wnkya.bringts.de","1598745600","['malware']"
"1q8.ru","1598745600","['spam']"
"1reducemy4.cricket","1598745600","['spam']"
"1sbserver1all.in","1598745600","['spam']"
"1sbserver1www.in","1598745600","['spam']"
"1sbserver2all.in","1598745600","['spam']"
"1sbserver2www.in","1598745600","['spam']"
"1sbserver3all.in","1598745600","['spam']"
"1sbserver3www.in","1598745600","['spam']"
"1sbserver4all.in","1598745600","['spam']"
"1sbserver4www.in","1598745600","['spam']"
"1se3.jasdnsad.repl.co","1598745600","['phishing']"
"1sevquroeas.com.br","1598745600","['spam']"
"1shop.de","1598745600","['malware']"
"1shopz.live","1598745600","['spam']"
"1sildenafil.com","1598745600","['spam']"
"1skd8dl5qm6qllc.ru","1598745600","['spam']"
"1sportaegg.ru","1598745600","['spam']"
"1st-investment.com","1598745600","['spam']"
"1stdirects.com","1598745600","['spam']"
"1stdrugstore.com","1598745600","['spam']"
"1stgamerz.com","1598745600","['spam']"
"1stopdating.com","1598745600","['spam']"
"1stsupplier.org","1598745600","['spam']"
"1suntrustsonline.com","1598745600","['spam']"
"1t3yb51c.jp","1598745600","['spam']"
"1t6.ru","1598745600","['spam']"
"1t9p2f7d8j.com","1598745600","['spam']"
"1team.es","1598745600","['c2']"
"1txz.cc","1598745600","['malware']"
"1u5.ru","1598745600","['spam']"
"1ule.com","1598745600","['spam']"
"1und1-controls-center.net","1598745600","['spam']"
"1vzc4ad4a9f7sffw.com","1598745600","['spam']"
"1w7.cc","1598745600","['malware']"
"1wcm.com","1598745600","['spam']"
"1worldasia.info","1598745600","['spam']"
"1worrynobody5.cricket","1598745600","['spam']"
"1wy7qr71.ryukyu","1598745600","['spam']"
"1x7.de","1598745600","['malware']"
"1xf-hch.net","1598745600","['spam']"
"1xz5jcshym5n.com","1598745600","['spam']"
"1xzo9m.jp","1598745600","['spam']"
"1y5.ru","1598745600","['spam']"
"1yfrjn19xg.com","1598745600","['spam']"
"1yr26-38.cloud","1598745600","['spam']"
"1z8.ru","1598745600","['spam']"
"1zb2exp-5c6.com","1598745600","['spam']"
"2-4ujrc6d3p1.com","1598745600","['spam']"
"2-6l7a.jp","1598745600","['spam']"
"2-7o8w1ztp.jp","1598745600","['spam']"
"2-81yv.com","1598745600","['spam']"
"2-navi.net","1598745600","['spam']"
"2-s-8g-3dma-gchz.net","1598745600","['spam']"
"2-x-se-9-ri-3-n-b5.net","1598745600","['spam']"
"2-z6-8bjwkspb-4p.net","1598745600","['spam']"
"2.tcp.ngrok.io","1598745600","['c2']"
"2.top4top.io","1598745600","['malware']"
"2.top4top.net","1598745600","['malware']"
"20.ip-51-254-220.eu","1598745600","['malware']"
"200-98-133-21.clouduol.com.br","1598745600","['malware']"
"200-98-137-240.clouduol.com.br","1598745600","['malware']"
"200-98-161-148.clouduol.com.br","1598745600","['malware']"
"200735.top","1598745600","['malware']"
"2009cy.com","1598745600","['malware']"
"2009jerseys.info","1598745600","['spam']"
"200tron.info","1598745600","['spam']"
"2011new.tk","1598745600","['spam']"
"2012burberryoutlet.co.uk","1598745600","['spam']"
"2012canadagoosechilliwack.fr","1598745600","['spam']"
"2012canadagoosejakker.eu","1598745600","['spam']"
"2012doudounecanadagoose.fr","1598745600","['spam']"
"2012doudounemonclerfemme.fr","1598745600","['spam']"
"2012doudounemonclerpascher.fr","1598745600","['spam']"
"2012gmail.com","1598745600","['spam']"
"2012hairstyles.tk","1598745600","['spam']"
"2012monsterbeatsbydre.fr","1598745600","['spam']"
"2012parkacanadagoosepascher.fr","1598745600","['spam']"
"2012uggboots4uku.co.uk","1598745600","['spam']"
"2013-saclongchamps.fr","1598745600","['spam']"
"2013-vergleichen.de","1598745600","['spam']"
"201314.site","1598745600","['spam']"
"2013beatsheadphones.de","1598745600","['spam']"
"2013canadagoosejacketoutlet.co.uk","1598745600","['spam']"
"2013christianlouboutincheap.co.uk","1598745600","['spam']"
"2013christianlouboutinoutlet.co.uk","1598745600","['spam']"
"2013christianlouboutinsale.co.uk","1598745600","['spam']"
"2013christianlouboutinshoes.co.uk","1598745600","['spam']"
"2013christianlouboutinsneakers.co.uk","1598745600","['spam']"
"2013doudounemoncler.fr","1598745600","['spam']"
"2013longchampsonline.fr","1598745600","['spam']"
"2013longchampzone.fr","1598745600","['spam']"
"2013louisvuittonbagsukoutlet.co.uk","1598745600","['spam']"
"2013monclersaleoutlet.co.uk","1598745600","['spam']"
"2013monclersolde.fr","1598745600","['spam']"
